Date ,Time,Temperature,Humidity,LW 
3/20/2023,13:00:46,26.9,22,5
3/20/2023,13:00:50,26.9,22,5
3/20/2023,13:00:53,26.9,22,6
3/20/2023,13:00:57,26.9,22,5
3/20/2023,13:01:00,26.9,22,5
3/20/2023,13:01:03,26.9,22,7
3/20/2023,13:01:06,26.9,22,6
3/20/2023,13:01:09,26.9,22,5
3/20/2023,13:01:13,26.9,22,4
3/20/2023,13:01:16,26.9,22,5
3/20/2023,13:01:19,26.9,22,5
3/20/2023,13:01:23,26.9,23,4
3/20/2023,13:01:25,26.9,22,6
3/20/2023,13:01:29,26.9,22,12
3/20/2023,13:01:32,26.9,22,5
3/20/2023,13:01:36,26.9,22,5
3/20/2023,13:01:40,26.9,23,5
3/20/2023,13:01:44,26.9,23,6
3/20/2023,13:01:47,26.9,23,4
3/20/2023,13:01:50,26.9,23,5
3/20/2023,13:01:53,27,23,22
3/20/2023,13:01:57,27,23,8
3/20/2023,13:02:00,27,23,6
3/20/2023,13:02:03,27,23,5
3/20/2023,13:02:07,27,23,6
3/20/2023,13:02:11,27,23,4
3/20/2023,13:02:14,27,23,5
3/20/2023,13:02:18,27,23,6
3/20/2023,13:02:22,27,23,5
3/20/2023,13:02:25,27,23,6
3/20/2023,13:02:29,27,23,5
3/20/2023,13:02:32,27,23,5
3/20/2023,13:02:35,27,23,4
3/20/2023,13:02:39,27,23,6
3/20/2023,13:02:42,27,23,6
3/20/2023,13:02:46,27.1,23,5
3/20/2023,13:02:50,27,23,6
3/20/2023,13:02:53,27,23,7
3/20/2023,13:02:56,27.1,23,5
3/20/2023,13:02:59,27.1,23,5
3/20/2023,13:03:02,27.1,23,3
3/20/2023,13:03:05,27.1,23,4
3/20/2023,13:03:08,27.1,23,4
3/20/2023,13:03:12,27.1,23,4
3/20/2023,13:03:15,27.1,23,5
3/20/2023,13:03:18,27.1,23,4
3/20/2023,13:03:21,27.1,23,5
3/20/2023,13:03:25,27.1,23,5
3/20/2023,13:03:28,27.1,23,3
3/20/2023,13:03:32,27.1,23,4
3/20/2023,13:03:35,27.1,23,7
3/20/2023,13:03:39,27.1,22,5
3/20/2023,13:03:43,27.1,22,5
3/20/2023,13:03:46,27.1,22,3
3/20/2023,13:03:49,27.1,22,4
3/20/2023,13:03:52,27.1,22,5
3/20/2023,13:03:55,27.1,22,5
